n,space,
0,0,
1,0,
2,2,1
3,2,0.666666667
4,4,1
5,4,0.8
6,8,1.333333333
7,10,1.428571429
8,8,1
9,10,1.111111111
10,14,1.4
11,14,1.272727273
12,14,1.166666667
13,16,1.230769231
14,16,1.142857143
15,18,1.2
16,20,1.25
17,22,1.294117647
18,22,1.222222222
19,26,1.368421053
20,24,1.2
21,26,1.238095238
22,30,1.363636364
23,30,1.304347826
24,30,1.25
25,32,1.28
26,32,1.230769231
27,32,1.185185185
28,36,1.285714286
29,38,1.310344828
30,42,1.4
31,42,1.35483871
32,44,1.375
33,42,1.272727273
34,48,1.411764706
35,44,1.257142857
36,48,1.333333333
37,46,1.243243243
38,48,1.263157895
39,52,1.333333333
40,52,1.3
41,56,1.365853659
42,56,1.333333333
43,58,1.348837209
44,56,1.272727273
45,62,1.377777778
46,58,1.260869565
47,60,1.276595745
48,64,1.333333333
49,66,1.346938776
50,66,1.32
51,68,1.333333333
52,70,1.346153846
53,70,1.320754717
54,70,1.296296296
55,68,1.236363636
56,72,1.285714286
57,80,1.403508772
58,80,1.379310345
59,82,1.389830508
60,78,1.3
61,82,1.344262295
62,78,1.258064516
63,88,1.396825397
64,90,1.40625
65,86,1.323076923
66,90,1.363636364
67,88,1.313432836
68,88,1.294117647
69,86,1.246376812
70,90,1.285714286
71,94,1.323943662
72,94,1.305555556
73,96,1.315068493
74,92,1.243243243
75,104,1.386666667
76,104,1.368421053
77,102,1.324675325
78,102,1.307692308
79,106,1.341772152
80,106,1.325
81,108,1.333333333
82,110,1.341463415
83,110,1.325301205
84,112,1.333333333
85,116,1.364705882
86,106,1.23255814
87,112,1.287356322
88,120,1.363636364
89,118,1.325842697
90,114,1.266666667
91,118,1.296703297
92,116,1.260869565
93,120,1.290322581
94,118,1.255319149
95,132,1.389473684
96,124,1.291666667
97,126,1.298969072
98,132,1.346938776
99,130,1.313131313
100,136,1.36
101,134,1.326732673
102,132,1.294117647
103,130,1.262135922
104,134,1.288461538
105,142,1.352380952
106,142,1.339622642
107,136,1.271028037
108,154,1.425925926
109,148,1.357798165
110,138,1.254545455
111,154,1.387387387
112,152,1.357142857
113,150,1.327433628
114,146,1.280701754
115,154,1.339130435
116,146,1.25862069
117,164,1.401709402
118,162,1.372881356
119,156,1.31092437
120,164,1.366666667
121,162,1.338842975
122,170,1.393442623
123,174,1.414634146
124,170,1.370967742
125,164,1.312
126,160,1.26984127
127,176,1.385826772
128,168,1.3125
129,166,1.286821705
130,172,1.323076923
131,168,1.282442748
132,178,1.348484848
133,178,1.338345865
134,182,1.358208955
135,176,1.303703704
136,182,1.338235294
137,182,1.328467153
138,180,1.304347826
139,188,1.352517986
140,188,1.342857143
141,188,1.333333333
142,182,1.281690141
143,182,1.272727273
144,184,1.277777778
145,192,1.324137931
146,194,1.328767123
147,200,1.360544218
148,196,1.324324324
149,198,1.32885906
150,194,1.293333333
151,206,1.364238411
152,202,1.328947368
153,198,1.294117647
154,202,1.311688312
155,202,1.303225806
156,206,1.320512821
157,206,1.312101911
158,212,1.341772152
159,210,1.320754717
160,210,1.3125
161,222,1.378881988
162,222,1.37037037
163,212,1.300613497
164,216,1.317073171
165,222,1.345454545
166,220,1.325301205
167,226,1.353293413
168,230,1.369047619
169,234,1.384615385
170,222,1.305882353
171,228,1.333333333
172,222,1.290697674
173,234,1.352601156
174,234,1.344827586
175,232,1.325714286
176,234,1.329545455
177,224,1.265536723
178,232,1.303370787
179,232,1.296089385
180,242,1.344444444
181,232,1.281767956
182,250,1.373626374
183,250,1.366120219
184,246,1.336956522
185,252,1.362162162
186,242,1.301075269
187,248,1.326203209
188,248,1.319148936
189,254,1.343915344
190,262,1.378947368
191,240,1.256544503
192,264,1.375
193,256,1.32642487
194,258,1.329896907
195,262,1.343589744
196,256,1.306122449
197,258,1.30964467
198,266,1.343434343
199,258,1.296482412
200,270,1.35
201,262,1.303482587
202,272,1.346534653
203,266,1.310344828
204,264,1.294117647
205,266,1.297560976
206,278,1.349514563
207,276,1.333333333
208,278,1.336538462
209,282,1.349282297
210,288,1.371428571
211,268,1.27014218
212,282,1.330188679
213,290,1.361502347
214,290,1.355140187
215,286,1.330232558
216,282,1.305555556
217,290,1.33640553
218,298,1.366972477
219,294,1.342465753
220,292,1.327272727
221,284,1.285067873
222,286,1.288288288
223,294,1.31838565
224,294,1.3125
225,300,1.333333333
226,300,1.327433628
227,304,
228,312,
229,298,
230,306,
231,310,
232,304,
233,320,
234,310,
235,306,
236,302,
237,314,
238,322,
239,306,
240,320,
241,316,
242,320,
243,318,
244,330,
245,318,
246,324,
247,322,
248,322,
249,322,
250,328,
251,334,
252,346,
253,336,
254,336,
255,332,
256,348,
257,338,
258,354,
259,352,
260,350,
261,340,
262,352,
263,362,
264,356,
265,342,
266,358,
267,364,
268,354,
269,352,
270,350,
271,358,
272,358,
273,358,
274,350,
275,354,
276,358,
277,358,
278,370,
279,360,
280,364,
281,370,
282,384,
283,386,
284,372,
285,378,
286,384,
287,372,
288,390,
289,384,
290,390,
291,376,
292,388,
293,406,
294,386,
295,396,
296,398,
297,406,
298,378,
299,398,
300,402,
